               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1371,             0.24969,            0.034527,          0.00041605,          0.00038491,          0.00013139,          3.9416e-05,             0.13404,              0.2162,            0.028341,               8e-05,               8e-05,             0.09928
                   1,             0.13091,             0.23406,             0.02915,           0.0056553,           0.0038491,           0.0018411,          0.00037823,             0.13389,             0.19136,            0.025776,          0.00016958,          0.00016958,             0.09847
                   2,             0.13447,             0.20799,            0.025837,            0.016288,             0.01963,           0.0083791,           0.0017774,             0.13418,             0.16102,            0.022798,          0.00025744,          0.00025744,            0.097657
                   3,              0.1327,             0.19769,            0.021644,            0.024049,             0.04542,             0.01336,           0.0027566,             0.13324,             0.14687,            0.019123,          0.00034229,          0.00034229,            0.096842
                   4,             0.12997,             0.19811,            0.017229,            0.037228,            0.074673,            0.019429,           0.0040557,             0.13215,             0.14143,            0.015382,          0.00042288,          0.00042288,            0.096023
                   5,             0.12506,             0.19848,            0.013885,            0.054287,              0.1097,            0.030719,           0.0057633,             0.12919,             0.13976,            0.011362,          0.00049805,          0.00049805,            0.095198
                   6,             0.12068,             0.20004,             0.01141,            0.064741,             0.14473,            0.044176,            0.008811,             0.12578,             0.14276,            0.008515,          0.00056672,          0.00056672,            0.094367
                   7,             0.11591,             0.21416,           0.0086743,            0.079881,             0.15358,            0.055945,            0.011129,             0.12005,             0.14767,           0.0066019,          0.00062793,          0.00062793,            0.093528
                   8,             0.11008,             0.20429,           0.0070978,            0.095369,              0.1632,             0.06982,            0.014012,             0.11248,             0.14562,           0.0052693,          0.00068089,          0.00068089,            0.092681
                   9,             0.10666,             0.22462,           0.0062389,             0.61119,             0.16436,            0.079239,            0.015807,             0.10499,             0.15623,           0.0042821,          0.00072491,          0.00072491,            0.091825
                  10,             0.10232,             0.23178,           0.0056772,             0.61219,             0.20477,            0.092371,            0.018539,            0.099278,             0.15858,           0.0036575,           0.0007595,           0.0007595,            0.090959
                  11,             0.10153,             0.22328,           0.0046771,               0.642,             0.21406,             0.12504,            0.025462,             0.10388,             0.15256,           0.0033344,          0.00078434,          0.00078434,            0.090084
                  12,            0.097938,             0.22492,            0.004749,             0.67646,             0.20405,             0.14623,             0.03282,            0.094938,             0.15493,            0.003058,          0.00079931,          0.00079931,            0.089199
                  13,            0.094241,             0.23452,           0.0039796,             0.68437,             0.23364,             0.17288,            0.042289,            0.094661,             0.15638,           0.0028322,          0.00080445,          0.00080445,            0.088304
                  14,            0.092315,             0.23293,           0.0044658,             0.69942,             0.24249,             0.19664,            0.052888,            0.090201,             0.15448,           0.0027548,          0.00080003,          0.00080003,              0.0874
                  15,            0.090716,             0.23555,           0.0047868,              0.7299,             0.22671,             0.20814,            0.057642,            0.091395,             0.15718,           0.0026936,           0.0007865,           0.0007865,            0.086487
                  16,            0.090938,             0.23862,           0.0040225,              0.7297,             0.27059,             0.24052,            0.075096,            0.090585,             0.15439,           0.0026292,           0.0007645,           0.0007645,            0.085565
                  17,            0.083628,              0.2334,           0.0037206,             0.73605,             0.27098,             0.24146,             0.07498,            0.087009,             0.15483,           0.0025521,          0.00073487,          0.00073487,            0.084635
                  18,               0.088,             0.23785,           0.0038861,             0.75342,             0.29754,             0.27013,            0.085414,            0.087376,             0.15593,           0.0025056,           0.0006986,           0.0006986,            0.083699
                  19,            0.086848,             0.24371,           0.0033487,             0.76361,             0.28673,             0.27174,            0.086045,            0.085545,             0.15444,           0.0025161,          0.00065687,          0.00065687,            0.082757
                  20,            0.086303,             0.24561,           0.0034048,             0.77467,             0.30485,             0.29351,            0.099715,            0.082845,             0.15369,           0.0024647,            0.000611,            0.000611,            0.081811
                  21,            0.085324,             0.24233,           0.0032364,             0.79733,             0.29792,               0.303,             0.10473,            0.082727,             0.15312,           0.0024578,          0.00056243,          0.00056243,            0.080862
                  22,            0.083323,             0.23861,           0.0031395,             0.79118,             0.32526,              0.3145,             0.10819,            0.079645,             0.15295,           0.0024302,          0.00051272,          0.00051272,            0.079913
                  23,            0.083373,             0.24882,           0.0033512,             0.77069,             0.33715,             0.30908,             0.11209,             0.08119,             0.15298,            0.002396,          0.00046351,          0.00046351,            0.078964
                  24,            0.081914,             0.24067,           0.0034788,             0.79196,             0.33872,             0.32568,             0.12192,            0.079344,             0.15268,           0.0023751,          0.00041651,          0.00041651,            0.078017
                  25,            0.080519,             0.23617,            0.003381,              0.7903,             0.33718,             0.32152,             0.11743,             0.08023,             0.15386,           0.0023785,          0.00037347,          0.00037347,            0.077073
                  26,            0.080902,             0.23689,           0.0031288,              0.7938,              0.3495,             0.32628,             0.11438,            0.079282,             0.15339,           0.0023397,          0.00033615,          0.00033615,            0.076136
                  27,            0.078772,             0.23913,           0.0034635,             0.80234,             0.35489,              0.3404,             0.13053,            0.078467,             0.15221,           0.0023141,          0.00030628,          0.00030628,            0.075206
                  28,            0.078551,             0.24218,           0.0031018,             0.78856,             0.36605,             0.33735,             0.12794,            0.078437,             0.15187,           0.0022941,          0.00028557,          0.00028557,            0.074286
                  29,             0.08229,             0.25222,           0.0029345,              0.8174,             0.36331,              0.3538,             0.13887,             0.07827,             0.15221,           0.0022889,          0.00027563,          0.00027563,            0.073376
