               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13745,             0.24766,            0.034811,                   0,                   0,                   0,                   0,             0.13273,             0.20319,            0.028859,               8e-05,               8e-05,             0.09928
                   1,             0.13608,             0.24081,            0.030804,           0.0050544,           0.0042406,            0.001716,          0.00048793,             0.13214,             0.18245,             0.02563,             0.00017,             0.00017,             0.09847
                   2,             0.13481,             0.20852,            0.025876,            0.015668,            0.039465,           0.0081823,           0.0015494,              0.1315,             0.15543,            0.022428,          0.00025997,          0.00025997,             0.09766
                   3,             0.13257,             0.19558,            0.021499,            0.018868,            0.024672,           0.0086134,           0.0017719,             0.13202,             0.13933,             0.01866,          0.00034992,          0.00034992,             0.09685
                   4,             0.12942,             0.19892,            0.017246,            0.035341,              0.0532,             0.01608,           0.0030184,             0.12962,             0.14072,            0.014932,          0.00043983,          0.00043983,             0.09604
                   5,             0.12559,              0.1957,            0.013943,            0.043493,             0.09522,             0.02721,           0.0048171,             0.12198,              0.1369,            0.011109,          0.00052967,          0.00052967,             0.09523
                   6,             0.12098,             0.19798,             0.01134,            0.057627,             0.12182,            0.040281,           0.0078864,             0.11734,             0.14028,           0.0082965,          0.00061945,          0.00061945,            0.094419
                   7,             0.11632,             0.21015,           0.0082082,             0.07714,             0.15305,            0.051262,            0.010346,              0.1096,             0.15233,           0.0064855,          0.00070914,          0.00070914,            0.093609
                   8,             0.11002,               0.208,           0.0068804,            0.080348,              0.1569,            0.053901,            0.011162,              0.1075,             0.15237,           0.0052571,          0.00079874,          0.00079874,            0.092799
                   9,             0.10544,             0.22752,           0.0058267,             0.59703,             0.17887,            0.070243,              0.0146,               0.102,             0.16402,           0.0044369,          0.00088822,          0.00088822,            0.091988
                  10,             0.10117,             0.23206,            0.004941,            0.095946,             0.23207,            0.081764,             0.01684,              0.1001,             0.16631,           0.0038801,          0.00097758,          0.00097758,            0.091178
