               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1315,             0.35776,              0.0283,                   0,                   0,                   0,                   0,             0.12724,             0.27268,            0.028592,               8e-05,               8e-05,             0.09928
                   1,             0.12917,             0.32612,            0.025332,            0.017591,            0.034257,            0.009887,           0.0022845,             0.12463,             0.24182,            0.024068,             0.00017,             0.00017,             0.09847
                   2,             0.12531,             0.29343,            0.021384,            0.083484,             0.11523,            0.047519,           0.0092201,             0.12652,             0.18641,            0.019874,          0.00025997,          0.00025997,             0.09766
                   3,             0.12319,             0.23682,            0.017839,            0.067359,             0.17951,            0.053725,            0.010537,              0.1219,             0.17184,            0.015743,          0.00034992,          0.00034992,             0.09685
                   4,             0.11766,             0.22851,            0.013806,            0.092981,             0.17129,             0.06652,              0.0135,             0.11862,             0.16975,            0.010752,          0.00043983,          0.00043983,             0.09604
                   5,             0.11036,             0.22695,            0.010749,              0.1082,             0.20054,            0.082114,            0.017266,             0.11117,              0.1817,            0.007106,          0.00052967,          0.00052967,             0.09523
                   6,             0.10506,             0.23411,           0.0083466,             0.66027,             0.23326,             0.14552,            0.033417,             0.10556,              0.1837,           0.0050799,          0.00061945,          0.00061945,            0.094419
                   7,              0.1008,             0.23437,           0.0064715,             0.73819,             0.22168,             0.20977,            0.058769,            0.098234,             0.17995,           0.0041119,          0.00070914,          0.00070914,            0.093609
                   8,            0.094545,             0.23196,           0.0054649,              0.7308,             0.25443,             0.23243,            0.066926,              0.1006,              0.1642,           0.0034539,          0.00079874,          0.00079874,            0.092799
                   9,            0.089254,             0.22476,           0.0046997,             0.75695,             0.28253,             0.26996,             0.08412,            0.088099,             0.16588,           0.0030774,          0.00088822,          0.00088822,            0.091988
                  10,            0.087356,              0.2341,           0.0043444,             0.79562,             0.32063,             0.32221,             0.11445,            0.087306,             0.15926,           0.0027294,          0.00097758,          0.00097758,            0.091178
                  11,            0.085763,             0.23403,           0.0041886,             0.81577,             0.37208,             0.36524,             0.13885,            0.086774,             0.15382,           0.0026151,           0.0010668,           0.0010668,            0.090367
                  12,            0.084227,             0.22822,           0.0033592,             0.81419,             0.37798,             0.36366,             0.13097,             0.08145,             0.15639,           0.0024649,           0.0011559,           0.0011559,            0.089556
                  13,            0.080817,             0.23246,           0.0035004,             0.75587,             0.39222,             0.25728,             0.09303,            0.088372,             0.15645,           0.0024754,           0.0012448,           0.0012448,            0.088745
                  14,            0.082672,             0.21899,           0.0037987,              0.9097,             0.38222,             0.42448,             0.19458,            0.078423,             0.14847,           0.0024982,           0.0013335,           0.0013335,            0.087934
                  15,            0.082991,             0.23689,            0.003846,             0.85038,             0.38669,             0.38265,             0.16353,            0.084622,             0.14808,           0.0024666,           0.0014221,           0.0014221,            0.087122
