               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13468,             0.27141,            0.024708,                   0,                   0,                   0,                   0,             0.13217,             0.23027,            0.023874,               8e-05,               8e-05,             0.09928
                   1,             0.13059,             0.29686,            0.022423,           0.0086487,            0.024249,           0.0042584,          0.00099288,             0.12959,             0.22427,            0.021273,          0.00016958,          0.00016958,             0.09847
                   2,             0.12663,             0.28994,            0.019747,            0.048299,             0.13101,            0.031416,           0.0075845,             0.12898,             0.19478,            0.018097,          0.00025744,          0.00025744,            0.097657
                   3,             0.12467,             0.25742,             0.01658,            0.060826,             0.13664,            0.037273,           0.0078393,             0.12593,             0.16552,            0.014556,          0.00034229,          0.00034229,            0.096842
                   4,              0.1229,              0.2264,            0.013741,            0.055718,             0.14125,              0.0352,           0.0071744,             0.12538,             0.15286,            0.011083,          0.00042288,          0.00042288,            0.096023
                   5,             0.12108,             0.22049,            0.010986,             0.56631,             0.13741,            0.040236,            0.008178,             0.12396,             0.16329,            0.007946,          0.00049805,          0.00049805,            0.095198
                   6,             0.11833,             0.22035,           0.0090578,             0.58325,             0.15358,             0.05507,            0.012139,             0.11985,             0.17416,           0.0058657,          0.00056672,          0.00056672,            0.094367
                   7,             0.11479,             0.22428,            0.007616,             0.62103,             0.18784,            0.090619,            0.019688,             0.11511,             0.17541,           0.0044983,          0.00062793,          0.00062793,            0.093528
                   8,             0.11076,             0.21902,           0.0061941,             0.12932,             0.20862,             0.10382,            0.022687,             0.11125,             0.16573,           0.0038116,          0.00068089,          0.00068089,            0.092681
                   9,             0.10636,             0.22362,           0.0049205,             0.15023,             0.24633,             0.14168,            0.032445,             0.10587,             0.17824,           0.0032957,          0.00072491,          0.00072491,            0.091825
                  10,             0.10215,              0.2428,           0.0053394,             0.20922,             0.22748,             0.18719,             0.04377,            0.099942,             0.17812,           0.0030978,           0.0007595,           0.0007595,            0.090959
                  11,            0.097721,             0.23703,           0.0051822,             0.22833,              0.2448,             0.21988,            0.065285,            0.099995,             0.16371,           0.0030941,          0.00078434,          0.00078434,            0.090084
                  12,            0.097504,             0.23691,           0.0042758,             0.21908,              0.2679,             0.21175,            0.059039,            0.093826,             0.16243,            0.002892,          0.00079931,          0.00079931,            0.089199
                  13,            0.094306,             0.24799,           0.0040204,             0.22975,              0.2883,             0.23555,            0.070888,            0.090301,             0.16025,           0.0028436,          0.00080445,          0.00080445,            0.088304
                  14,            0.090573,             0.22783,           0.0041631,             0.24831,             0.29022,             0.25232,            0.074837,            0.090134,             0.15877,           0.0029003,          0.00080003,          0.00080003,              0.0874
                  15,            0.089289,             0.23696,           0.0040613,             0.27809,             0.33025,             0.30425,             0.10678,            0.087672,             0.16044,           0.0028192,           0.0007865,           0.0007865,            0.086487
                  16,            0.083963,             0.23124,           0.0040793,             0.30274,             0.30639,             0.31723,             0.11438,            0.082935,             0.16047,             0.00267,           0.0007645,           0.0007645,            0.085565
                  17,            0.083552,             0.24196,           0.0034072,             0.80266,             0.34373,             0.32948,             0.12012,            0.081217,             0.15472,           0.0026092,          0.00073487,          0.00073487,            0.084635
                  18,            0.082191,             0.23239,           0.0033195,             0.81568,             0.33872,             0.33671,             0.11809,            0.082295,             0.15497,           0.0025458,           0.0006986,           0.0006986,            0.083699
                  19,            0.085313,             0.23454,           0.0030748,             0.79239,             0.37189,             0.34693,             0.14719,            0.083853,             0.15225,           0.0025442,          0.00065687,          0.00065687,            0.082757
                  20,            0.083746,             0.23599,           0.0040675,             0.84285,             0.34296,              0.3569,             0.13951,            0.078199,             0.15016,           0.0024982,            0.000611,            0.000611,            0.081811
                  21,            0.076623,             0.23885,           0.0035493,             0.84975,             0.37028,              0.3818,             0.16357,            0.080868,             0.15055,             0.00251,          0.00056243,          0.00056243,            0.080862
                  22,            0.080888,             0.24229,           0.0035607,             0.83599,             0.36746,             0.36624,              0.1393,            0.079242,             0.15329,           0.0024972,          0.00051272,          0.00051272,            0.079913
                  23,            0.077121,             0.23913,           0.0034023,             0.84575,             0.37721,              0.3815,             0.16184,            0.079394,             0.14749,           0.0024821,          0.00046351,          0.00046351,            0.078964
                  24,            0.078673,             0.23872,           0.0033909,             0.84604,             0.38413,             0.38201,             0.16938,            0.077089,             0.14674,           0.0024758,          0.00041651,          0.00041651,            0.078017
                  25,            0.076419,             0.22955,            0.003707,              0.8725,             0.38838,             0.40086,              0.1737,            0.074225,             0.14599,           0.0024583,          0.00037347,          0.00037347,            0.077073
                  26,            0.078536,             0.23501,             0.00329,             0.87933,               0.403,             0.42154,             0.19025,            0.072601,             0.14691,           0.0024437,          0.00033615,          0.00033615,            0.076136
                  27,            0.073391,             0.22297,           0.0032876,             0.89671,             0.39175,             0.42515,              0.1891,             0.07552,             0.14546,           0.0024052,          0.00030628,          0.00030628,            0.075206
                  28,            0.073484,             0.22774,           0.0028529,             0.90462,             0.40108,             0.43468,             0.20148,            0.072216,             0.14443,           0.0023654,          0.00028557,          0.00028557,            0.074286
                  29,            0.072372,              0.2171,           0.0031786,             0.88795,             0.40911,             0.42495,             0.19657,            0.072824,             0.14452,           0.0023522,          0.00027563,          0.00027563,            0.073376
