               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13443,             0.27005,            0.024962,          0.00017016,          0.00039277,          8.1479e-05,          1.6296e-05,               0.133,             0.21754,            0.022895,               8e-05,               8e-05,             0.09928
                   1,             0.13221,             0.28107,            0.021811,           0.0075735,            0.019246,           0.0037599,          0.00097805,             0.12977,             0.21448,            0.019853,          0.00016958,          0.00016958,             0.09847
                   2,             0.12656,             0.28673,            0.019602,            0.044879,             0.12844,            0.028978,           0.0062272,             0.12551,             0.19083,            0.017773,          0.00025744,          0.00025744,            0.097657
                   3,             0.12416,             0.27021,            0.016521,            0.056083,             0.13747,            0.035979,           0.0078867,             0.12547,             0.15982,            0.015202,          0.00034229,          0.00034229,            0.096842
                   4,             0.12354,                0.24,             0.01411,            0.072833,               0.163,            0.047165,           0.0097527,             0.12289,             0.15698,            0.011622,          0.00042288,          0.00042288,            0.096023
                   5,             0.12077,             0.22542,            0.011284,             0.57582,             0.13119,            0.043448,           0.0092173,             0.11932,             0.16167,           0.0087483,          0.00049805,          0.00049805,            0.095198
                   6,             0.11807,             0.22558,           0.0088227,             0.10438,               0.157,            0.070468,            0.015346,             0.11696,             0.17288,           0.0064865,          0.00056672,          0.00056672,            0.094367
                   7,             0.11489,             0.21808,           0.0074493,             0.11833,             0.19953,            0.091233,            0.019338,             0.11088,             0.15921,           0.0051429,          0.00062793,          0.00062793,            0.093528
                   8,              0.1101,             0.22704,           0.0064579,             0.16186,             0.21697,             0.13381,            0.030544,             0.10307,             0.17639,           0.0043442,          0.00068089,          0.00068089,            0.092681
                   9,             0.10282,             0.22776,           0.0055961,             0.14451,             0.24902,             0.12229,            0.026872,             0.10163,             0.16415,            0.004225,          0.00072491,          0.00072491,            0.091825
                  10,             0.10145,             0.23562,            0.004906,             0.21403,             0.24193,             0.19728,            0.051118,             0.08856,             0.16227,            0.003855,           0.0007595,           0.0007595,            0.090959
                  11,            0.098778,             0.23639,           0.0044011,             0.24316,             0.26996,             0.24178,            0.071469,            0.082991,             0.16799,           0.0032868,          0.00078434,          0.00078434,            0.090084
                  12,            0.095417,             0.23646,             0.00427,             0.77675,             0.26041,             0.25512,            0.079322,            0.079459,              0.1588,           0.0031666,          0.00079931,          0.00079931,            0.089199
                  13,            0.091653,              0.2275,           0.0040684,              0.7619,             0.30597,             0.26448,            0.084729,             0.07826,              0.1578,           0.0029802,          0.00080445,          0.00080445,            0.088304
                  14,            0.090477,             0.23844,            0.003817,             0.77576,             0.32325,             0.28383,            0.092584,            0.074162,             0.16033,            0.002847,          0.00080003,          0.00080003,              0.0874
                  15,            0.086885,              0.2359,           0.0037262,             0.78751,             0.31932,             0.30108,             0.10177,            0.078039,              0.1526,           0.0027698,           0.0007865,           0.0007865,            0.086487
                  16,            0.087038,             0.22499,           0.0041417,             0.80623,             0.34603,              0.3275,             0.11945,            0.072523,             0.14547,           0.0028348,           0.0007645,           0.0007645,            0.085565
                  17,            0.084144,             0.23221,           0.0036567,             0.80236,             0.36955,             0.34151,             0.13495,            0.067332,             0.15076,           0.0027101,          0.00073487,          0.00073487,            0.084635
                  18,            0.082689,             0.23003,           0.0038576,             0.81605,             0.35782,              0.3489,              0.1255,            0.074366,             0.14433,            0.002704,           0.0006986,           0.0006986,            0.083699
                  19,            0.085662,             0.23007,           0.0040226,             0.87434,             0.36174,             0.39183,             0.16722,            0.069303,             0.14549,           0.0027763,          0.00065687,          0.00065687,            0.082757
                  20,            0.084824,             0.24309,           0.0035704,             0.86702,             0.36174,             0.38952,               0.166,             0.07546,             0.14627,           0.0028219,            0.000611,            0.000611,            0.081811
                  21,            0.081661,             0.23409,           0.0051674,             0.88521,             0.35939,             0.39493,             0.16238,             0.06712,              0.1448,           0.0027984,          0.00056243,          0.00056243,            0.080862
                  22,            0.079661,             0.24425,           0.0038319,             0.87444,             0.36311,             0.38493,             0.15264,            0.063547,             0.14393,            0.002767,          0.00051272,          0.00051272,            0.079913
                  23,            0.081116,             0.22956,           0.0040654,             0.89276,             0.36842,             0.40904,             0.19391,            0.064524,             0.14312,           0.0027264,          0.00046351,          0.00046351,            0.078964
                  24,            0.077804,             0.24482,            0.003676,             0.88108,              0.4022,             0.42072,             0.19064,            0.061445,             0.14104,           0.0026672,          0.00041651,          0.00041651,            0.078017
                  25,            0.075913,             0.23058,           0.0034937,             0.85782,             0.39474,             0.39353,             0.18509,             0.06331,             0.13988,           0.0026424,          0.00037347,          0.00037347,            0.077073
                  26,            0.075786,             0.24223,           0.0036397,             0.88401,             0.42027,             0.42932,             0.20847,            0.057824,             0.13903,           0.0026363,          0.00033615,          0.00033615,            0.076136
                  27,            0.076017,             0.23706,           0.0033499,             0.88919,             0.40848,             0.42785,             0.20446,            0.056347,             0.13937,           0.0026172,          0.00030628,          0.00030628,            0.075206
                  28,            0.073099,             0.23279,           0.0034551,             0.89335,             0.41574,              0.4276,             0.21217,            0.059708,             0.13764,           0.0025624,          0.00028557,          0.00028557,            0.074286
                  29,             0.07674,             0.22357,           0.0030987,              0.9024,             0.41123,             0.43305,             0.20886,            0.055388,             0.13791,           0.0025349,          0.00027563,          0.00027563,            0.073376
