               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13626,             0.22367,            0.026608,                   0,                   0,                   0,                   0,             0.13882,               0.132,            0.023197,               8e-05,               8e-05,             0.09928
                   1,             0.13508,              0.2255,            0.024451,           0.0035472,           0.0062844,           0.0014283,          0.00024059,             0.13766,             0.14256,            0.019614,          0.00016958,          0.00016958,             0.09847
                   2,             0.13188,              0.2199,            0.021027,            0.020606,            0.025923,           0.0094249,           0.0020083,             0.13358,             0.14074,             0.01744,          0.00025744,          0.00025744,            0.097657
                   3,             0.12879,             0.20222,            0.018171,             0.03414,            0.087058,            0.019813,           0.0043302,             0.13048,             0.14353,            0.014774,          0.00034229,          0.00034229,            0.096842
                   4,              0.1268,             0.19418,            0.015313,            0.040787,             0.11769,            0.023397,           0.0051155,             0.12447,              0.1358,            0.011598,          0.00042288,          0.00042288,            0.096023
                   5,              0.1239,             0.19264,            0.012218,            0.048098,             0.11194,            0.029629,           0.0060353,             0.11678,             0.13676,           0.0085325,          0.00049805,          0.00049805,            0.095198
                   6,             0.11937,             0.19909,            0.009778,            0.065166,             0.14611,            0.046338,           0.0092223,             0.11507,             0.14577,           0.0063967,          0.00056672,          0.00056672,            0.094367
                   7,             0.11287,             0.19831,           0.0079517,            0.096569,             0.12674,            0.067043,            0.013061,             0.11374,             0.15617,           0.0050149,          0.00062793,          0.00062793,            0.093528
                   8,             0.10917,             0.21221,           0.0069134,             0.63182,             0.14533,            0.090961,            0.018948,             0.10272,             0.16192,            0.004015,          0.00068089,          0.00068089,            0.092681
                   9,             0.10453,             0.20719,           0.0057395,              0.6542,             0.17753,              0.1205,            0.026018,            0.094522,             0.15224,           0.0034982,          0.00072491,          0.00072491,            0.091825
                  10,            0.099862,             0.21731,           0.0047939,             0.17373,             0.21524,             0.14839,            0.036137,            0.098813,              0.1563,           0.0030541,           0.0007595,           0.0007595,            0.090959
                  11,            0.098544,             0.21556,           0.0049965,             0.68357,             0.24077,             0.17569,            0.043459,            0.099922,             0.15908,           0.0028375,          0.00078434,          0.00078434,            0.090084
                  12,            0.095579,             0.21772,            0.004035,             0.69027,             0.25609,             0.20875,            0.054984,            0.088402,             0.15401,           0.0027699,          0.00079931,          0.00079931,            0.089199
                  13,            0.087233,             0.23187,           0.0041152,             0.72191,             0.25609,             0.21025,            0.057465,            0.086795,             0.15402,           0.0025949,          0.00080445,          0.00080445,            0.088304
                  14,            0.087012,              0.2251,           0.0039028,             0.70998,             0.31068,             0.25173,             0.07475,            0.074991,             0.15167,           0.0024964,          0.00080003,          0.00080003,              0.0874
                  15,            0.088135,             0.22418,           0.0036329,             0.73898,             0.29537,             0.26227,            0.067796,            0.077572,             0.14948,           0.0024761,           0.0007865,           0.0007865,            0.086487
                  16,            0.087696,             0.23384,            0.004084,             0.77478,             0.29184,             0.28153,            0.093888,            0.074416,              0.1468,            0.002451,           0.0007645,           0.0007645,            0.085565
                  17,            0.085894,             0.24193,           0.0038015,              0.7794,             0.34093,             0.30473,             0.10266,            0.071457,             0.14712,           0.0024496,          0.00073487,          0.00073487,            0.084635
                  18,            0.084027,             0.23291,           0.0036333,              0.7525,             0.36489,             0.28124,             0.09142,             0.07198,             0.14694,           0.0024052,           0.0006986,           0.0006986,            0.083699
                  19,            0.085454,             0.23736,           0.0033667,             0.73956,             0.34033,             0.25981,            0.085336,            0.075465,             0.14842,           0.0023833,          0.00065687,          0.00065687,            0.082757
                  20,            0.085376,             0.23117,           0.0037011,             0.79228,             0.39241,             0.34064,             0.12287,            0.073056,             0.14488,           0.0024132,            0.000611,            0.000611,            0.081811
                  21,             0.08598,             0.22651,           0.0030703,             0.78509,             0.39984,             0.34118,             0.12734,            0.075686,             0.14378,           0.0024145,          0.00056243,          0.00056243,            0.080862
                  22,            0.081858,             0.22884,           0.0035081,             0.80536,             0.38649,             0.34787,             0.13055,             0.06685,             0.14459,           0.0023911,          0.00051272,          0.00051272,            0.079913
                  23,            0.080851,              0.2286,           0.0039925,             0.82093,             0.38294,             0.36545,             0.14612,            0.065313,             0.14252,           0.0024022,          0.00046351,          0.00046351,            0.078964
                  24,            0.078151,              0.2412,           0.0032948,             0.81651,             0.39364,             0.36238,             0.14112,            0.060482,             0.14491,           0.0023616,          0.00041651,          0.00041651,            0.078017
                  25,            0.076924,             0.23964,           0.0032001,             0.82003,             0.39081,             0.36382,              0.1409,            0.063884,             0.14268,           0.0023496,          0.00037347,          0.00037347,            0.077073
                  26,            0.078206,             0.22379,           0.0033102,               0.841,             0.38099,             0.37601,             0.16051,            0.059314,             0.14167,           0.0023474,          0.00033615,          0.00033615,            0.076136
                  27,            0.076954,             0.24168,           0.0038286,             0.82715,             0.39547,             0.37292,             0.15525,             0.05578,             0.14192,           0.0023412,          0.00030628,          0.00030628,            0.075206
                  28,             0.07513,               0.238,           0.0029232,             0.82589,             0.40299,             0.37703,             0.15809,            0.056746,              0.1411,           0.0023288,          0.00028557,          0.00028557,            0.074286
                  29,            0.075202,             0.23507,           0.0033375,             0.84348,             0.40456,             0.39041,             0.16905,            0.060377,             0.14059,           0.0023197,          0.00027563,          0.00027563,            0.073376
