               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13735,             0.25105,            0.034406,          0.00060206,          0.00078555,          0.00026353,          5.2897e-05,             0.13239,              0.2052,            0.028898,               8e-05,               8e-05,             0.09928
                   1,             0.13655,             0.23219,            0.030345,           0.0085975,           0.0039277,            0.001775,          0.00039165,             0.13063,             0.18395,            0.025257,          0.00016958,          0.00016958,             0.09847
                   2,             0.13413,              0.2082,            0.025641,            0.019046,            0.034171,            0.010177,           0.0022842,             0.13182,             0.15941,            0.021765,          0.00025744,          0.00025744,            0.097657
                   3,             0.13241,             0.19732,            0.021381,              0.0231,            0.049882,             0.01251,            0.002474,             0.12802,             0.14331,            0.017905,          0.00034229,          0.00034229,            0.096842
                   4,             0.12937,             0.20242,            0.016956,            0.031706,            0.073449,            0.017774,            0.003552,             0.12159,             0.14129,            0.014052,          0.00042288,          0.00042288,            0.096023
                   5,             0.12469,              0.1954,            0.013836,            0.056486,            0.093873,            0.029611,           0.0060603,             0.11948,              0.1397,            0.010824,          0.00049805,          0.00049805,            0.095198
                   6,             0.12074,             0.20128,             0.01116,            0.068139,             0.13511,            0.043176,           0.0084892,              0.1131,             0.14675,           0.0082656,          0.00056672,          0.00056672,            0.094367
                   7,             0.11624,             0.21461,           0.0087468,            0.084931,             0.15986,            0.058374,            0.012085,             0.10913,             0.14843,            0.006482,          0.00062793,          0.00062793,            0.093528
                   8,               0.111,             0.20537,           0.0072579,             0.59332,             0.18539,             0.07205,             0.01479,             0.10418,             0.14691,           0.0053851,          0.00068089,          0.00068089,            0.092681
                   9,             0.10523,             0.22319,           0.0058706,             0.60553,               0.185,            0.079914,            0.017547,            0.097027,             0.15198,           0.0044601,          0.00072491,          0.00072491,            0.091825
                  10,             0.10261,             0.23133,           0.0059621,             0.62249,             0.22388,             0.10159,            0.021792,            0.092593,             0.15499,           0.0037853,           0.0007595,           0.0007595,            0.090959
                  11,             0.10021,             0.22435,           0.0043342,              0.1589,             0.22505,             0.14484,            0.030919,            0.090187,              0.1483,           0.0033579,          0.00078434,          0.00078434,            0.090084
                  12,            0.097013,              0.2228,           0.0046933,             0.17348,             0.23016,             0.15513,            0.035294,            0.083142,             0.15264,           0.0030844,          0.00079931,          0.00079931,            0.089199
                  13,            0.094859,             0.23974,           0.0047183,             0.19968,             0.23959,             0.19048,            0.046703,            0.080846,             0.15271,            0.002987,          0.00080445,          0.00080445,            0.088304
                  14,            0.092413,             0.23437,           0.0044303,             0.20942,             0.25166,             0.20945,            0.054366,            0.078776,             0.15007,           0.0028978,          0.00080003,          0.00080003,              0.0874
                  15,            0.090251,             0.23487,            0.004421,             0.21865,             0.25844,              0.2168,             0.05862,            0.075984,             0.15324,           0.0028022,           0.0007865,           0.0007865,            0.086487
                  16,             0.09129,             0.23831,           0.0044565,             0.22711,              0.2773,             0.24365,            0.071838,            0.072501,             0.15164,           0.0027404,           0.0007645,           0.0007645,            0.085565
                  17,            0.084578,              0.2365,           0.0035565,             0.23899,              0.2879,             0.25537,            0.078419,             0.07393,             0.15156,           0.0026738,          0.00073487,          0.00073487,            0.084635
                  18,            0.087686,             0.23984,           0.0039449,             0.27135,             0.29026,             0.27603,            0.089784,             0.06798,             0.15274,            0.002632,           0.0006986,           0.0006986,            0.083699
                  19,            0.089048,             0.24516,           0.0035063,             0.29571,             0.27177,             0.28261,            0.087101,            0.087425,              0.1495,           0.0026477,          0.00065687,          0.00065687,            0.082757
                  20,            0.091811,             0.24611,           0.0033734,             0.27316,             0.31186,             0.29865,             0.10654,            0.070526,             0.14825,           0.0026581,            0.000611,            0.000611,            0.081811
                  21,            0.085057,             0.24616,           0.0037775,             0.77597,              0.3099,             0.30007,             0.10722,            0.069898,             0.14836,           0.0026183,          0.00056243,          0.00056243,            0.080862
                  22,            0.081787,             0.23864,           0.0033285,             0.79211,             0.31623,             0.31191,             0.10805,            0.069086,             0.14761,           0.0025634,          0.00051272,          0.00051272,            0.079913
                  23,            0.083676,             0.24809,           0.0033559,             0.27283,             0.34603,             0.30941,             0.11662,            0.068911,             0.14751,           0.0025326,          0.00046351,          0.00046351,            0.078964
                  24,            0.082014,             0.24186,           0.0036162,             0.80085,             0.32693,             0.32181,             0.12069,            0.064262,             0.14721,            0.002533,          0.00041651,          0.00041651,            0.078017
                  25,            0.080592,             0.23826,           0.0032873,             0.79777,             0.34721,              0.3308,             0.12092,            0.063827,             0.14804,           0.0025031,          0.00037347,          0.00037347,            0.077073
                  26,            0.080822,             0.24082,           0.0030416,             0.79234,             0.34614,             0.32316,             0.11556,            0.062629,             0.14749,           0.0024584,          0.00033615,          0.00033615,            0.076136
                  27,            0.079223,             0.24361,           0.0036991,             0.80325,             0.35113,             0.33967,             0.12806,            0.064426,             0.14631,           0.0024339,          0.00030628,          0.00030628,            0.075206
                  28,              0.0794,              0.2432,           0.0027951,             0.79348,             0.36371,             0.33781,             0.12994,            0.061644,              0.1462,           0.0024109,          0.00028557,          0.00028557,            0.074286
                  29,            0.081106,             0.25117,           0.0030696,             0.81223,             0.36511,             0.35158,             0.13519,            0.061603,             0.14712,           0.0024039,          0.00027563,          0.00027563,            0.073376
