               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13206,             0.35452,            0.028798,                   0,                   0,                   0,                   0,             0.12716,              0.2558,            0.027783,               8e-05,               8e-05,             0.09928
                   1,             0.12958,             0.32698,            0.025374,            0.018882,            0.036135,            0.010115,           0.0021394,             0.12392,             0.22873,            0.023285,          0.00016958,          0.00016958,             0.09847
                   2,             0.12552,               0.299,            0.021417,            0.077478,              0.1506,            0.050545,            0.010303,             0.12339,             0.17742,            0.018911,          0.00025744,          0.00025744,            0.097657
                   3,             0.12322,             0.23886,            0.017691,             0.10514,             0.11194,            0.060759,            0.011997,             0.11722,             0.16593,            0.014984,          0.00034229,          0.00034229,            0.096842
                   4,             0.11723,             0.23108,            0.013646,             0.10016,             0.19939,            0.070965,            0.014639,             0.10797,             0.16684,            0.011374,          0.00042288,          0.00042288,            0.096023
                   5,             0.11089,             0.22803,            0.010956,             0.61471,             0.18932,            0.085197,            0.018385,            0.097659,             0.17158,           0.0079831,          0.00049805,          0.00049805,            0.095198
                   6,             0.10522,             0.23554,           0.0086157,             0.67092,             0.20778,             0.13814,            0.030273,            0.088057,             0.18353,           0.0056969,          0.00056672,          0.00056672,            0.094367
                   7,             0.09942,             0.23289,           0.0067934,             0.72156,             0.21406,             0.19035,            0.049879,            0.081663,             0.16878,           0.0045277,          0.00062793,          0.00062793,            0.093528
                   8,            0.093359,              0.2354,           0.0056564,             0.71948,             0.27141,             0.22328,            0.065153,            0.079563,             0.16231,           0.0037806,          0.00068089,          0.00068089,            0.092681
                   9,            0.091036,             0.22411,           0.0045907,             0.73569,             0.31383,             0.25381,            0.078013,            0.072315,             0.16097,            0.003301,          0.00072491,          0.00072491,            0.091825
                  10,            0.086861,             0.23624,           0.0044264,             0.77992,             0.32129,              0.2925,              0.1023,            0.071276,             0.16335,           0.0030032,           0.0007595,           0.0007595,            0.090959
                  11,            0.086963,             0.23075,           0.0043007,             0.81687,             0.33708,             0.34005,             0.13312,            0.091965,             0.15099,           0.0029095,          0.00078434,          0.00078434,            0.090084
                  12,             0.08595,             0.23164,           0.0040243,             0.81432,             0.35625,              0.3597,              0.1377,            0.069131,             0.15735,           0.0027096,          0.00079931,          0.00079931,            0.089199
                  13,            0.078244,              0.2309,           0.0036531,             0.75144,             0.38924,             0.28572,            0.083217,            0.075869,             0.15136,           0.0026671,          0.00080445,          0.00080445,            0.088304
                  14,            0.078857,             0.22267,           0.0036133,             0.83553,             0.39277,             0.37488,             0.16196,            0.061966,             0.14401,           0.0025265,          0.00080003,          0.00080003,              0.0874
                  15,            0.078653,              0.2359,            0.004033,             0.87341,             0.40456,             0.40912,             0.18329,            0.062893,             0.14119,           0.0024931,           0.0007865,           0.0007865,            0.086487
                  16,            0.077331,             0.22707,           0.0035408,             0.91142,             0.41398,             0.43726,             0.19648,            0.061829,             0.14088,           0.0024457,           0.0007645,           0.0007645,            0.085565
                  17,            0.075877,             0.22536,           0.0039128,             0.86009,             0.41142,             0.39684,             0.15059,            0.058066,             0.14335,           0.0024252,          0.00073487,          0.00073487,            0.084635
                  18,            0.080615,             0.22551,           0.0035282,             0.93478,             0.39827,             0.42816,             0.19308,            0.078806,             0.14353,           0.0024799,           0.0006986,           0.0006986,            0.083699
                  19,            0.086464,             0.23319,           0.0034397,              0.8018,              0.4037,             0.34893,             0.14198,            0.071173,             0.14452,           0.0025013,          0.00065687,          0.00065687,            0.082757
                  20,            0.077948,              0.2371,            0.003372,             0.94669,             0.42027,             0.45445,             0.21179,            0.067028,              0.1446,           0.0024552,            0.000611,            0.000611,            0.081811
                  21,            0.076238,             0.24013,           0.0037474,             0.89577,             0.41791,              0.4287,             0.18343,            0.065373,             0.13849,           0.0024999,          0.00056243,          0.00056243,            0.080862
                  22,            0.074812,             0.22942,           0.0038724,             0.90567,             0.41892,              0.4359,             0.20092,            0.055729,             0.13794,           0.0024947,          0.00051272,          0.00051272,            0.079913
                  23,             0.07381,             0.23274,           0.0038175,             0.81991,             0.40048,             0.36886,             0.14984,             0.06984,             0.14129,           0.0024782,          0.00046351,          0.00046351,            0.078964
                  24,            0.076862,             0.21904,           0.0032039,             0.94353,             0.42302,             0.45216,             0.20191,            0.056517,             0.13916,           0.0024582,          0.00041651,          0.00041651,            0.078017
                  25,            0.070084,             0.21386,           0.0038547,             0.93472,             0.42773,             0.45452,             0.23858,            0.061911,             0.13571,           0.0024303,          0.00037347,          0.00037347,            0.077073
                  26,            0.072037,             0.22943,           0.0028532,             0.96079,             0.43401,             0.46805,             0.25131,            0.050926,             0.13415,           0.0024084,          0.00033615,          0.00033615,            0.076136
                  27,            0.068485,              0.2367,           0.0039997,             0.94475,             0.44264,             0.46726,             0.24979,            0.050821,             0.13488,           0.0023873,          0.00030628,          0.00030628,            0.075206
                  28,            0.068113,             0.22729,           0.0029835,             0.95252,             0.44174,             0.46802,             0.25184,            0.051964,             0.13298,           0.0023844,          0.00028557,          0.00028557,            0.074286
                  29,            0.068463,             0.22921,           0.0032802,             0.95721,             0.44069,             0.46837,             0.25266,             0.05495,             0.13384,           0.0023688,          0.00027563,          0.00027563,            0.073376
